// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 生活指導室で、ガルデモバンドメンバーと共に、みっちりと教師に絞られた。
<0000> The members of GalDeMo and I were being lectured in the office.

//<0001> 楽器の没収は免れた。
<0001> Thankfully, the school won't confiscate the instruments.

//<0002> 二度と許可のないライブはしない約束と交換条件に。
<0002> But they told us to never start a concert again without permission.

//<0003> nothing
//<0526> Depussy
<0526> Depussy

//<0527> Perverted American Dog
<0527> Perverted American Dog

//<0528> Zeus
<0528> Zeus

//<0529> Hinata mark Ⅱ
<0529> Hinata mark Ⅱ

//<0530> Dung Beetle
<0530> Dung Beetle

//<0531> Mass Produced Hinata
<0531> Mass Produced Hinata

//<0532> ？？
<0532> ？？

//<0533> 「どうした、みんな黙って」
<0533> 「Why are you guys so quiet?」

//<0534> nothing
<0534> nothing

//<0535> nothing
<0535> nothing

//<0536> nothing
<0536> nothing

//<0537> nothing
<0537> nothing

//<0538> nothing
<0538> nothing

//<0539> Sekine
<0539> Sekine

//<0540> 「…えー、Otonashiさんは、露出狂ということでよろしいんですか?」
<0540> 「… Umm, is it OK to say that you are an exhibitionist?」

//<0541> Otonashi
<0541> Otonashi

//<0542> クソ坊主
<0542> クソ坊主

//<0543> 代理人
<0543> 代理人

//<0544> 微妙すぎるイケメン
<0544> 微妙すぎるイケメン

//<0545> ロリコン
<0545> ロリコン

//<0546> メガネ仲間
<0546> メガネ仲間

//<0547> 暗算日本記録保持者
<0547> 暗算日本記録保持者

//<0548> 通り魔
<0548> 通り魔

//<0549> 記憶ナシ男
<0549> 記憶ナシ男

//<0550> 音速
<0550> 音速

//<0551> 無限
<0551> 無限

//<0552> Horny Samurai
<0552> Horny Samurai

//<0553> Super Horny Squad Member 1
<0553> Super Horny Squad Member 1

//<0554> Horny Boy
<0554> Horny Boy

//<0555> Ugri Yuri
<0555> Ugri Yuri

//<0556> Depussy
<0556> Depussy

//<0557> Perverted American Dog
<0557> Perverted American Dog

//<0558> Zeus
<0558> Zeus

//<0559> Hinata mark Ⅱ
<0559> Hinata mark Ⅱ

//<0560> Dung Beetle
<0560> Dung Beetle

//<0561> Mass Produced Hinata
<0561> Mass Produced Hinata

//<0562> ？？
<0562> ？？

//<0563> 「いやいや、露出狂って好きでする奴のことだろ?　Yuriから命令されてあくまでも陽動としてなら、俺は仕方がないと引き受けるよ」
<0563> 「No, there's a difference. Those guys do it because they like it, right? I'm doing it for distraction, if I get Yuri's orders to.」

//<0564> Otonashi
<0564> Otonashi

//<0565> クソ坊主
<0565> クソ坊主

//<0566> 代理人
<0566> 代理人

//<0567> 微妙すぎるイケメン
<0567> 微妙すぎるイケメン

//<0568> ロリコン
<0568> ロリコン

//<0569> メガネ仲間
<0569> メガネ仲間

//<0570> 暗算日本記録保持者
<0570> 暗算日本記録保持者

//<0571> 通り魔
<0571> 通り魔

//<0572> 記憶ナシ男
<0572> 記憶ナシ男

//<0573> 音速
<0573> 音速

//<0574> 無限
<0574> 無限

//<0575> Horny Samurai
<0575> Horny Samurai

//<0576> Super Horny Squad Member 1
<0576> Super Horny Squad Member 1

//<0577> Horny Boy
<0577> Horny Boy

//<0578> Ugri Yuri
<0578> Ugri Yuri

//<0579> Depussy
<0579> Depussy

//<0580> Perverted American Dog
<0580> Perverted American Dog

//<0581> Zeus
<0581> Zeus

//<0582> Hinata mark Ⅱ
<0582> Hinata mark Ⅱ

//<0583> Dung Beetle
<0583> Dung Beetle

//<0584> Mass Produced Hinata
<0584> Mass Produced Hinata

//<0585> ？？
<0585> ？？

//<0586> 「ちなみに今の俺はHorny Samuraiという名前だがな」
<0586> 「By the way, my current name is Horny Samurai.」

//<0587> Otonashi
<0587> Otonashi

//<0588> クソ坊主
<0588> クソ坊主

//<0589> 代理人
<0589> 代理人

//<0590> 微妙すぎるイケメン
<0590> 微妙すぎるイケメン

//<0591> ロリコン
<0591> ロリコン

//<0592> メガネ仲間
<0592> メガネ仲間

//<0593> 暗算日本記録保持者
<0593> 暗算日本記録保持者

//<0594> 通り魔
<0594> 通り魔

//<0595> 記憶ナシ男
<0595> 記憶ナシ男

//<0596> 音速
<0596> 音速

//<0597> 無限
<0597> 無限

//<0598> Horny Samurai
<0598> Horny Samurai

//<0599> Super Horny Squad Member 1
<0599> Super Horny Squad Member 1

//<0600> Horny Boy
<0600> Horny Boy

//<0601> Ugri Yuri
<0601> Ugri Yuri

//<0602> Depussy
<0602> Depussy

//<0603> Perverted American Dog
<0603> Perverted American Dog

//<0604> Zeus
<0604> Zeus

//<0605> Hinata mark Ⅱ
<0605> Hinata mark Ⅱ

//<0606> Dung Beetle
<0606> Dung Beetle

//<0607> Mass Produced Hinata
<0607> Mass Produced Hinata

//<0608> ？？
<0608> ？？

//<0609> 「ちなみに今の俺はSuper Horny Squad Member 1という名前だがな」
<0609> 「By the way, my current name is Super Horny Squad Member 1.」

//<0610> Otonashi
<0610> Otonashi

//<0611> クソ坊主
<0611> クソ坊主

//<0612> 代理人
<0612> 代理人

//<0613> 微妙すぎるイケメン
<0613> 微妙すぎるイケメン

//<0614> ロリコン
<0614> ロリコン

//<0615> メガネ仲間
<0615> メガネ仲間

//<0616> 暗算日本記録保持者
<0616> 暗算日本記録保持者

//<0617> 通り魔
<0617> 通り魔

//<0618> 記憶ナシ男
<0618> 記憶ナシ男

//<0619> 音速
<0619> 音速

//<0620> 無限
<0620> 無限

//<0621> Horny Samurai
<0621> Horny Samurai

//<0622> Super Horny Squad Member 1
<0622> Super Horny Squad Member 1

//<0623> Horny Boy
<0623> Horny Boy

//<0624> Ugri Yuri
<0624> Ugri Yuri

//<0625> Depussy
<0625> Depussy

//<0626> Perverted American Dog
<0626> Perverted American Dog

//<0627> Zeus
<0627> Zeus

//<0628> Hinata mark Ⅱ
<0628> Hinata mark Ⅱ

//<0629> Dung Beetle
<0629> Dung Beetle

//<0630> Mass Produced Hinata
<0630> Mass Produced Hinata

//<0631> ？？
<0631> ？？

//<0632> 「ちなみに今の俺はHorny Boyという名前だがな」
<0632> 「By the way, my current name is Horny Boy.」

//<0633> nothing
<0633> nothing

//<0634> nothing
<0634> nothing

//<0635> Everybody
<0635> Everybody

//<0636> 「………」
<0636> 「………」

//<0637> 再びEverybodyが黙る。
<0637> Everybody went silent again.

//<0638> しばらく経ってから、Hisakoが口を開く。
<0638> It stayed that way until Hisako finally opened her mouth.

//<0639> nothing
<0639> nothing

//<0640> nothing
<0640> nothing

//<0641> nothing
<0641> nothing

//<0642> nothing
<0642> nothing

//<0643> nothing
<0643> nothing

//<0644> Hisako
<0644> Hisako

//<0645> 「名前もそうだし、さすがに素っ裸でグラウンド走るとか…奇行すぎて、引くぜ…」
<0645> 「Your name, and your willingness to run naked… They're such a turn-off…」

//<0646> nothing
<0646> nothing

//<0647> nothing
<0647> nothing

//<0648> nothing
<0648> nothing

//<0649> nothing
<0649> nothing

//<0650> nothing
<0650> nothing

//<0651> Hisako
<0651> Hisako

//<0652> 「仕方がなくても、さすがに素っ裸でグラウンド走るとか…奇行すぎて、引くぜ…」
<0652> 「Even if you have no choice… Running naked on the fields… It's such a turn off…」

//<0653> Otonashi
<0653> Otonashi

//<0654> クソ坊主
<0654> クソ坊主

//<0655> 代理人
<0655> 代理人

//<0656> 微妙すぎるイケメン
<0656> 微妙すぎるイケメン

//<0657> ロリコン
<0657> ロリコン

//<0658> メガネ仲間
<0658> メガネ仲間

//<0659> 暗算日本記録保持者
<0659> 暗算日本記録保持者

//<0660> 通り魔
<0660> 通り魔

//<0661> 記憶ナシ男
<0661> 記憶ナシ男

//<0662> 音速
<0662> 音速

//<0663> 無限
<0663> 無限

//<0664> Horny Samurai
<0664> Horny Samurai

//<0665> Super Horny Squad Member 1
<0665> Super Horny Squad Member 1

//<0666> Horny Boy
<0666> Horny Boy

//<0667> Ugri Yuri
<0667> Ugri Yuri

//<0668> Depussy
<0668> Depussy

//<0669> Perverted American Dog
<0669> Perverted American Dog

//<0670> Zeus
<0670> Zeus

//<0671> Hinata mark Ⅱ
<0671> Hinata mark Ⅱ

//<0672> Dung Beetle
<0672> Dung Beetle

//<0673> Mass Produced Hinata
<0673> Mass Produced Hinata

//<0674> ？？
<0674> ？？

//<0675> 「えっ!?　Iwasawaはっ!?」
<0675> 「Huh!?　Is it!? Iwasawa!?」

//<0676> nothing
<0676> nothing

//<0677> nothing
<0677> nothing

//<0678> nothing
<0678> nothing

//<0679> nothing
<0679> nothing

//<0680> nothing
<0680> nothing

//<0681> Iwasawa
<0681> Iwasawa

//<0682> 「だな。引く。やめてくれ」
<0682> 「Yeah, it is. Please stop.」

//<0683> se_shock
<0683> se_shock

//<0684> Otonashi
<0684> Otonashi

//<0685> クソ坊主
<0685> クソ坊主

//<0686> 代理人
<0686> 代理人

//<0687> 微妙すぎるイケメン
<0687> 微妙すぎるイケメン

//<0688> ロリコン
<0688> ロリコン

//<0689> メガネ仲間
<0689> メガネ仲間

//<0690> 暗算日本記録保持者
<0690> 暗算日本記録保持者

//<0691> 通り魔
<0691> 通り魔

//<0692> 記憶ナシ男
<0692> 記憶ナシ男

//<0693> 音速
<0693> 音速

//<0694> 無限
<0694> 無限

//<0695> Horny Samurai
<0695> Horny Samurai

//<0696> Super Horny Squad Member 1
<0696> Super Horny Squad Member 1

//<0697> Horny Boy
<0697> Horny Boy

//<0698> Ugri Yuri
<0698> Ugri Yuri

//<0699> Depussy
<0699> Depussy

//<0700> Perverted American Dog
<0700> Perverted American Dog

//<0701> Zeus
<0701> Zeus

//<0702> Hinata mark Ⅱ
<0702> Hinata mark Ⅱ

//<0703> Dung Beetle
<0703> Dung Beetle

//<0704> Mass Produced Hinata
<0704> Mass Produced Hinata

//<0705> ？？
<0705> ？？

//<0706> (Iwasawaにも、引かれたぁーーー!!)
<0706> (I was rejected by Iwasawa as well!!)

//<0707> nothing
<0707> nothing

//<0708> nothing
<0708> nothing

//<0709> nothing
<0709> nothing

//<0710> nothing
<0710> nothing

//<0711> nothing
<0711> nothing

//<0712> nothing
<0712> nothing

//<0713> ショックのあまり、項垂れる。
<0713> The shock was too much for me.

//<0714> それにしても…。
<0714> Leaving that aside…

//<0715> 白
<0715> 白

//<0716> nothing
<0716> nothing

//<0717> nothing
<0717> nothing

//<0718> nothing
<0718> nothing

//<0719> nothing
<0719> nothing

//<0720> nothing
<0720> nothing

//<0721> Yuri
<0721> Yuri

//<0722> 女生徒
<0722> 女生徒

//<0723> ？？
<0723> ？？

//<0724> 「この世界から消える条件は天使のいいなりになって、正しい学生生活を送る…それだけじゃないの」
<0724> 「To disappear from this world, acting like a model student and listening to Tenshi isn't the only option…」

//<0725> nothing
<0725> nothing

//<0726> nothing
<0726> nothing

//<0727> nothing
<0727> nothing

//<0728> nothing
<0728> nothing

//<0729> nothing
<0729> nothing

//<0730> Yuri
<0730> Yuri

//<0731> 女生徒
<0731> 女生徒

//<0732> ？？
<0732> ？？

//<0733> 「生前の悔いを晴らすほどの満足をこの世界で得られれば、次の人生のスタートを切れる」
<0733> 「If you achieve the happiness that makes you forget about the regrets of your life, then your next life starts.」

//<0734> nothing
<0734> nothing

//<0735> 
<0735> 

//<0736> 
<0736> 

//<0737> nothing
<0737> nothing

//<0738> 昨日のYuriの言葉が、頭の中に引っかかっている。
<0738> Yuri's words were lingering at the back of my head.

//<0739> 果たして俺は…。
<0739> Did I…

//<0740> Otonashi
<0740> Otonashi

//<0741> クソ坊主
<0741> クソ坊主

//<0742> 代理人
<0742> 代理人

//<0743> 微妙すぎるイケメン
<0743> 微妙すぎるイケメン

//<0744> ロリコン
<0744> ロリコン

//<0745> メガネ仲間
<0745> メガネ仲間

//<0746> 暗算日本記録保持者
<0746> 暗算日本記録保持者

//<0747> 通り魔
<0747> 通り魔

//<0748> 記憶ナシ男
<0748> 記憶ナシ男

//<0749> 音速
<0749> 音速

//<0750> 無限
<0750> 無限

//<0751> Horny Samurai
<0751> Horny Samurai

//<0752> Super Horny Squad Member 1
<0752> Super Horny Squad Member 1

//<0753> Horny Boy
<0753> Horny Boy

//<0754> Ugri Yuri
<0754> Ugri Yuri

//<0755> Depussy
<0755> Depussy

//<0756> Perverted American Dog
<0756> Perverted American Dog

//<0757> Zeus
<0757> Zeus

//<0758> Hinata mark Ⅱ
<0758> Hinata mark Ⅱ

//<0759> Dung Beetle
<0759> Dung Beetle

//<0760> Mass Produced Hinata
<0760> Mass Produced Hinata

//<0761> ？？
<0761> ？？

//<0762> (Iwasawaを助けたのか…?　邪魔をしたのか…?)
<0762> (Did I save Iwasawa…? Or did I interfere her…?)

//<0763> どちらが正しいのか、今の俺には判断がつかない…。
<0763> I wasn't quite sure which was the answer…

//<0764> 俺が邪魔をした形で、告知ライブは終わった。
<0764> The live concert ended with my interference.

//<0765> でもあの時感じた不安はもうない。
<0765> But the anxiousness I felt then isn't here now.

//<0766> 結果的に俺は、正しいことをしたんだろう。
<0766> In the end, did I make the right choice?

//<0767> ガルデモのメンバーを見ながら、そう感じていた。
<0767> I thought deeply about it as I stared at the members of GalDeMo.

//<0768> dummy
<0768> dummy

//<0769> bg_kuro
<0769> bg_kuro

//<0770> ep03_bg010
<0770> ep03_bg010

//<0771> m103
<0771> m103

//<0772> sk0402_13
<0772> sk0402_13

//<0773> sk0416
<0773> sk0416

//<0774> sk
<0774> sk

//<0775> hs0105
<0775> hs0105

//<0776> ep03_bg013
<0776> ep03_bg013

//<0777> iw0108_09
<0777> iw0108_09

//<0778> ep03_bg010
<0778> ep03_bg010

//<0779> sk0101_06
<0779> sk0101_06

//<0780> hs0105
<0780> hs0105

//<0781> sk
<0781> sk

//<0782> hs
<0782> hs

//<0783> iw0306_08
<0783> iw0306_08

//<0784> hs0105_01
<0784> hs0105_01

//<0785> bs3_sk0505
<0785> bs3_sk0505

//<0786> sk0504
<0786> sk0504

//<0787> sk051406a0
<0787> sk051406a0

//<0788> sk050800g0
<0788> sk050800g0

//<0789> sys_bk_selline00
<0789> sys_bk_selline00

//<0790> sk
<0790> sk

//<0791> bs1_hs0104
<0791> bs1_hs0104

//<0792> sk0514060000g0
<0792> sk0514060000g0

//<0793> hs0106
<0793> hs0106

//<0794> sk0416
<0794> sk0416

//<0795> sk
<0795> sk

//<0796> hs
<0796> hs

//<0797> bs1_ir0104_05
<0797> bs1_ir0104_05

//<0798> sk0205
<0798> sk0205

//<0799> ir0106
<0799> ir0106

//<0800> sk
<0800> sk

//<0801> hs
<0801> hs

//<0802> ir
<0802> ir

//<0803> bs1_iw0309_08
<0803> bs1_iw0309_08

//<0804> sk0515
<0804> sk0515

//<0805> hs0103
<0805> hs0103

//<0806> iw0306
<0806> iw0306

//<0807> ir0104
<0807> ir0104

//<0808> hs0204_05
<0808> hs0204_05

//<0809> sk0512
<0809> sk0512

//<0810> iw0207
<0810> iw0207

//<0811> hs0101
<0811> hs0101

//<0812> iw0201
<0812> iw0201

//<0813> ir0303_01
<0813> ir0303_01

//<0814> sk0509_15
<0814> sk0509_15

//<0815> bs1_hs0104
<0815> bs1_hs0104

//<0816> sk0509
<0816> sk0509

//<0817> bs1_iw0307_09
<0817> bs1_iw0307_09

//<0818> bs1_ir0106
<0818> bs1_ir0106

//<0819> sk0406
<0819> sk0406

//<0820> sk0416_09
<0820> sk0416_09

//<0821> bs1_hs0106_04
<0821> bs1_hs0106_04

//<0822> bs1_ir0107_06
<0822> bs1_ir0107_06

//<0823> bs1_iw0309
<0823> bs1_iw0309

//<0824> hs0204_05
<0824> hs0204_05

//<0825> hs0204_05
<0825> hs0204_05

//<0826> iw0108
<0826> iw0108

//<0827> m203
<0827> m203
{112b8} 0a // 0827

//<0828> bg_siro
<0828> bg_siro
{113a5} 0a // 0828

//<0829> ep03_bg004
<0829> ep03_bg004

//<0830> yr0110
<0830> yr0110

//<0831> yr0109
<0831> yr0109

//<0832> bg_siro
<0832> bg_siro
{11da6} 0a // 0832

//<0833> bg_kuro
<0833> bg_kuro

