// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> 一旦寮に戻り、ジャージに着替える。
<0000> Returning to the dorm, we changed to our jerseys.

//<0001> ジャージに着替えて、トレーニングの準備をする。
<0001> Having changed into our jerseys, we started the preparation for the training.

//<0002> nothing
<1013> 微妙すぎるイケメン

//<1014> ロリコン
<1014> ロリコン

//<1015> メガネ仲間
<1015> メガネ仲間

//<1016> 暗算日本記録保持者
<1016> 暗算日本記録保持者

//<1017> 通り魔
<1017> 通り魔

//<1018> 記憶ナシ男
<1018> 記憶ナシ男

//<1019> 音速
<1019> 音速

//<1020> 無限
<1020> 無限

//<1021> Horny Samurai
<1021> Horny Samurai

//<1022> Super Horny Squad Member 1
<1022> Super Horny Squad Member 1

//<1023> Horny Boy
<1023> Horny Boy

//<1024> Ugly Yuri
<1024> Ugly Yuri

//<1025> Depussy
<1025> Depussy

//<1026> Perverted American Dog
<1026> Perverted American Dog

//<1027> Zeus
<1027> Zeus

//<1028> Hinata mark II
<1028> Hinata mark II

//<1029> Dung Beetle
<1029> Dung Beetle

//<1030> Mass Produced Hinata
<1030> Mass Produced Hinata

//<1031> ？？
<1031> ？？

//<1032> (Hinataを前に、なんてざまだ!!)
<1032> (What a disgrace! And I was in front of Hinata as well!!)

//<1033> nothing
<1033> nothing

//<1034> nothing
<1034> nothing

//<1035> nothing
<1035> nothing

//<1036> nothing
<1036> nothing

//<1037> nothing
<1037> nothing

//<1038> Hinata
<1038> Hinata

//<1039> 男Ｂ
<1039> 男Ｂ

//<1040> Super Horny Squad Leader
<1040> Super Horny Squad Leader

//<1041> Handsome-chin
<1041> Handsome-chin

//<1042> Homota
<1042> Homota

//<1043> Hina-chin
<1043> Hina-chin

//<1044> Hideki
<1044> Hideki

//<1045> 男子生徒
<1045> 男子生徒

//<1046> ？？
<1046> ？？

//<1047> 「次は背筋だ。また押さえてくれ」
<1047> 「Next up is our backs. Let's stretch them again.」

//<1048> nothing
<1048> nothing

//<1049> nothing
<1049> nothing

//<1050> nothing
<1050> nothing

//<1051> nothing
<1051> nothing

//<1052> nothing
<1052> nothing

//<1053> nothing
<1053> nothing

//<1054> 地味な筋トレが続くも、俺は幹部としてまだまだなんだと痛感させられた…。
<1054> 地味な筋トレが続くも、俺は幹部としてまだまだなんだと痛感させられた…。

//<1055> トレーニングを切り上げて、ジャージから制服に着替える。
<1055> トレーニングを切り上げて、ジャージから制服に着替える。

//<1056> 腹もいい具合に減ってきたので、Hinataと一緒に学食に向かった。
<1056> 腹もいい具合に減ってきたので、Hinataと一緒に学食に向かった。

//<1057> nothing
<1057> nothing

//<1058> nothing
<1058> nothing

//<1059> nothing
<1059> nothing

//<1060> nothing
<1060> nothing

//<1061> nothing
<1061> nothing

//<1062> Hinata
<1062> Hinata

//<1063> 男Ｂ
<1063> 男Ｂ

//<1064> Super Horny Squad Leader
<1064> Super Horny Squad Leader

//<1065> Handsome-chin
<1065> Handsome-chin

//<1066> Homota
<1066> Homota

//<1067> Hina-chin
<1067> Hina-chin

//<1068> Hideki
<1068> Hideki

//<1069> 男子生徒
<1069> 男子生徒

//<1070> ？？
<1070> ？？

//<1071> 「さて、昼飯のお時間だ。美味しいご飯を食べて元気になってくれ」
<1071> 「さて、昼飯のお時間だ。美味しいご飯を食べて元気になってくれ」

//<1072> Otonashi
<1072> Otonashi

//<1073> クソ坊主
<1073> クソ坊主

//<1074> 代理人
<1074> 代理人

//<1075> 微妙すぎるイケメン
<1075> 微妙すぎるイケメン

//<1076> ロリコン
<1076> ロリコン

//<1077> メガネ仲間
<1077> メガネ仲間

//<1078> 暗算日本記録保持者
<1078> 暗算日本記録保持者

//<1079> 通り魔
<1079> 通り魔

//<1080> 記憶ナシ男
<1080> 記憶ナシ男

//<1081> 音速
<1081> 音速

//<1082> 無限
<1082> 無限

//<1083> Horny Samurai
<1083> Horny Samurai

//<1084> Super Horny Squad Member 1
<1084> Super Horny Squad Member 1

//<1085> Horny Boy
<1085> Horny Boy

//<1086> Ugly Yuri
<1086> Ugly Yuri

//<1087> Depussy
<1087> Depussy

//<1088> Perverted American Dog
<1088> Perverted American Dog

//<1089> Zeus
<1089> Zeus

//<1090> Hinata mark II
<1090> Hinata mark II

//<1091> Dung Beetle
<1091> Dung Beetle

//<1092> Mass Produced Hinata
<1092> Mass Produced Hinata

//<1093> ？？
<1093> ？？

//<1094> 「俺、金も食券もないんだが…」
<1094> 「俺、金も食券もないんだが…」

//<1095> nothing
<1095> nothing

//<1096> nothing
<1096> nothing

//<1097> nothing
<1097> nothing

//<1098> nothing
<1098> nothing

//<1099> nothing
<1099> nothing

//<1100> Hinata
<1100> Hinata

//<1101> 男Ｂ
<1101> 男Ｂ

//<1102> Super Horny Squad Leader
<1102> Super Horny Squad Leader

//<1103> Handsome-chin
<1103> Handsome-chin

//<1104> Homota
<1104> Homota

//<1105> Hina-chin
<1105> Hina-chin

//<1106> Hideki
<1106> Hideki

//<1107> 男子生徒
<1107> 男子生徒

//<1108> ？？
<1108> ？？

//<1109> 「ああ、そうだったな」
<1109> 「ああ、そうだったな」

//<1110> Otonashi
<1110> Otonashi

//<1111> クソ坊主
<1111> クソ坊主

//<1112> 代理人
<1112> 代理人

//<1113> 微妙すぎるイケメン
<1113> 微妙すぎるイケメン

//<1114> ロリコン
<1114> ロリコン

//<1115> メガネ仲間
<1115> メガネ仲間

//<1116> 暗算日本記録保持者
<1116> 暗算日本記録保持者

//<1117> 通り魔
<1117> 通り魔

//<1118> 記憶ナシ男
<1118> 記憶ナシ男

//<1119> 音速
<1119> 音速

//<1120> 無限
<1120> 無限

//<1121> Horny Samurai
<1121> Horny Samurai

//<1122> Super Horny Squad Member 1
<1122> Super Horny Squad Member 1

//<1123> Horny Boy
<1123> Horny Boy

//<1124> Ugly Yuri
<1124> Ugly Yuri

//<1125> Depussy
<1125> Depussy

//<1126> Perverted American Dog
<1126> Perverted American Dog

//<1127> Zeus
<1127> Zeus

//<1128> Hinata mark II
<1128> Hinata mark II

//<1129> Dung Beetle
<1129> Dung Beetle

//<1130> Mass Produced Hinata
<1130> Mass Produced Hinata

//<1131> ？？
<1131> ？？

//<1132> 「悪いな、奢ってもらって」
<1132> 「悪いな、奢ってもらって」

//<1133> 昼食はHinataがごちそうしてくれることになった。
<1133> 昼食はHinataがごちそうしてくれることになった。

//<1134> トレーニングを手伝ってくれたお礼らしいので、遠慮なく厚意を受け取ることにする。
<1134> トレーニングを手伝ってくれたお礼らしいので、遠慮なく厚意を受け取ることにする。

//<1135> nothing
<1135> nothing

//<1136> nothing
<1136> nothing

//<1137> nothing
<1137> nothing

//<1138> nothing
<1138> nothing

//<1139> nothing
<1139> nothing

//<1140> Hinata
<1140> Hinata

//<1141> 男Ｂ
<1141> 男Ｂ

//<1142> Super Horny Squad Leader
<1142> Super Horny Squad Leader

//<1143> Handsome-chin
<1143> Handsome-chin

//<1144> Homota
<1144> Homota

//<1145> Hina-chin
<1145> Hina-chin

//<1146> Hideki
<1146> Hideki

//<1147> 男子生徒
<1147> 男子生徒

//<1148> ？？
<1148> ？？

//<1149> 「問題ない。ついてこいよ」
<1149> 「問題ない。ついてこいよ」

//<1150> se_gaya
<1150> se_gaya

//<1151> nothing
<1151> nothing

//<1152> nothing
<1152> nothing

//<1153> nothing
<1153> nothing

//<1154> nothing
<1154> nothing

//<1155> nothing
<1155> nothing

//<1156> Hinata
<1156> Hinata

//<1157> 男Ｂ
<1157> 男Ｂ

//<1158> Super Horny Squad Leader
<1158> Super Horny Squad Leader

//<1159> Handsome-chin
<1159> Handsome-chin

//<1160> Homota
<1160> Homota

//<1161> Hina-chin
<1161> Hina-chin

//<1162> Hideki
<1162> Hideki

//<1163> 男子生徒
<1163> 男子生徒

//<1164> ？？
<1164> ？？

//<1165> 「食券はランダムで決めるぜ?」
<1165> 「食券はランダムで決めるぜ?」

//<1166> nothing
<1166> nothing

//<1167> nothing
<1167> nothing

//<1168> nothing
<1168> nothing

//<1169> nothing
<1169> nothing

//<1170> nothing
<1170> nothing

//<1171> Hinataがポケットを探る。
<1171> Hinataがポケットを探る。

//<1172> nothing
<1172> nothing

//<1173> nothing
<1173> nothing

//<1174> nothing
<1174> nothing

//<1175> nothing
<1175> nothing

//<1176> nothing
<1176> nothing

//<1177> Hinata
<1177> Hinata

//<1178> 男Ｂ
<1178> 男Ｂ

//<1179> Super Horny Squad Leader
<1179> Super Horny Squad Leader

//<1180> Handsome-chin
<1180> Handsome-chin

//<1181> Homota
<1181> Homota

//<1182> Hina-chin
<1182> Hina-chin

//<1183> Hideki
<1183> Hideki

//<1184> 男子生徒
<1184> 男子生徒

//<1185> ？？
<1185> ？？

//<1186> 「まず、俺はこれだぁ!」
<1186> 「まず、俺はこれだぁ!」

//<1187> nothing
<1187> nothing

//<1188> nothing
<1188> nothing

//<1189> nothing
<1189> nothing

//<1190> nothing
<1190> nothing

//<1191> nothing
<1191> nothing

//<1192> 食券を摘まみ上げた。
<1192> 食券を摘まみ上げた。

//<1193> nothing
<1193> nothing

//<1194> nothing
<1194> nothing

//<1195> nothing
<1195> nothing

//<1196> nothing
<1196> nothing

//<1197> nothing
<1197> nothing

//<1198> Hinata
<1198> Hinata

//<1199> 男Ｂ
<1199> 男Ｂ

//<1200> Super Horny Squad Leader
<1200> Super Horny Squad Leader

//<1201> Handsome-chin
<1201> Handsome-chin

//<1202> Homota
<1202> Homota

//<1203> Hina-chin
<1203> Hina-chin

//<1204> Hideki
<1204> Hideki

//<1205> 男子生徒
<1205> 男子生徒

//<1206> ？？
<1206> ？？

//<1207> 「おろしチキンカツ定食、よっしゃあぁぁーー!!」
<1207> 「おろしチキンカツ定食、よっしゃあぁぁーー!!」

//<1208> nothing
<1208> nothing

//<1209> nothing
<1209> nothing

//<1210> nothing
<1210> nothing

//<1211> nothing
<1211> nothing

//<1212> nothing
<1212> nothing

//<1213> Hinata
<1213> Hinata

//<1214> 男Ｂ
<1214> 男Ｂ

//<1215> Super Horny Squad Leader
<1215> Super Horny Squad Leader

//<1216> Handsome-chin
<1216> Handsome-chin

//<1217> Homota
<1217> Homota

//<1218> Hina-chin
<1218> Hina-chin

//<1219> Hideki
<1219> Hideki

//<1220> 男子生徒
<1220> 男子生徒

//<1221> ？？
<1221> ？？

//<1222> 「次はHorny Boy、お前の食券だぜ。いくぞ…」
<1222> 「次はHorny Boy、お前の食券だぜ。いくぞ…」

//<1223> Hinata
<1223> Hinata

//<1224> 男Ｂ
<1224> 男Ｂ

//<1225> Super Horny Squad Leader
<1225> Super Horny Squad Leader

//<1226> Handsome-chin
<1226> Handsome-chin

//<1227> Homota
<1227> Homota

//<1228> Hina-chin
<1228> Hina-chin

//<1229> Hideki
<1229> Hideki

//<1230> 男子生徒
<1230> 男子生徒

//<1231> ？？
<1231> ？？

//<1232> 「次はOtonashi、お前の食券だぜ。いくぞ…」
<1232> 「次はOtonashi、お前の食券だぜ。いくぞ…」

//<1233> Otonashi
<1233> Otonashi

//<1234> クソ坊主
<1234> クソ坊主

//<1235> 代理人
<1235> 代理人

//<1236> 微妙すぎるイケメン
<1236> 微妙すぎるイケメン

//<1237> ロリコン
<1237> ロリコン

//<1238> メガネ仲間
<1238> メガネ仲間

//<1239> 暗算日本記録保持者
<1239> 暗算日本記録保持者

//<1240> 通り魔
<1240> 通り魔

//<1241> 記憶ナシ男
<1241> 記憶ナシ男

//<1242> 音速
<1242> 音速

//<1243> 無限
<1243> 無限

//<1244> Horny Samurai
<1244> Horny Samurai

//<1245> Super Horny Squad Member 1
<1245> Super Horny Squad Member 1

//<1246> Horny Boy
<1246> Horny Boy

//<1247> Ugly Yuri
<1247> Ugly Yuri

//<1248> Depussy
<1248> Depussy

//<1249> Perverted American Dog
<1249> Perverted American Dog

//<1250> Zeus
<1250> Zeus

//<1251> Hinata mark II
<1251> Hinata mark II

//<1252> Dung Beetle
<1252> Dung Beetle

//<1253> Mass Produced Hinata
<1253> Mass Produced Hinata

//<1254> ？？
<1254> ？？

//<1255> 「ああ」
<1255> 「ああ」

//<1256> nothing
<1256> nothing

//<1257> nothing
<1257> nothing

//<1258> nothing
<1258> nothing

//<1259> nothing
<1259> nothing

//<1260> nothing
<1260> nothing

//<1261> 再びポケットを探る。
<1261> 再びポケットを探る。

//<1262> nothing
<1262> nothing

//<1263> nothing
<1263> nothing

//<1264> nothing
<1264> nothing

//<1265> nothing
<1265> nothing

//<1266> nothing
<1266> nothing

//<1267> Hinata
<1267> Hinata

//<1268> 男Ｂ
<1268> 男Ｂ

//<1269> Super Horny Squad Leader
<1269> Super Horny Squad Leader

//<1270> Handsome-chin
<1270> Handsome-chin

//<1271> Homota
<1271> Homota

//<1272> Hina-chin
<1272> Hina-chin

//<1273> Hideki
<1273> Hideki

//<1274> 男子生徒
<1274> 男子生徒

//<1275> ？？
<1275> ？？

//<1276> 「お前はこれだぁ!」
<1276> 「お前はこれだぁ!」

//<1277> Otonashi
<1277> Otonashi

//<1278> クソ坊主
<1278> クソ坊主

//<1279> 代理人
<1279> 代理人

//<1280> 微妙すぎるイケメン
<1280> 微妙すぎるイケメン

//<1281> ロリコン
<1281> ロリコン

//<1282> メガネ仲間
<1282> メガネ仲間

//<1283> 暗算日本記録保持者
<1283> 暗算日本記録保持者

//<1284> 通り魔
<1284> 通り魔

//<1285> 記憶ナシ男
<1285> 記憶ナシ男

//<1286> 音速
<1286> 音速

//<1287> 無限
<1287> 無限

//<1288> Horny Samurai
<1288> Horny Samurai

//<1289> Super Horny Squad Member 1
<1289> Super Horny Squad Member 1

//<1290> Horny Boy
<1290> Horny Boy

//<1291> Ugly Yuri
<1291> Ugly Yuri

//<1292> Depussy
<1292> Depussy

//<1293> Perverted American Dog
<1293> Perverted American Dog

//<1294> Zeus
<1294> Zeus

//<1295> Hinata mark II
<1295> Hinata mark II

//<1296> Dung Beetle
<1296> Dung Beetle

//<1297> Mass Produced Hinata
<1297> Mass Produced Hinata

//<1298> ？？
<1298> ？？

//<1299> 「なんだ?」
<1299> 「なんだ?」

//<1300> nothing
<1300> nothing

//<1301> nothing
<1301> nothing

//<1302> nothing
<1302> nothing

//<1303> nothing
<1303> nothing

//<1304> nothing
<1304> nothing

//<1305> Hinata
<1305> Hinata

//<1306> 男Ｂ
<1306> 男Ｂ

//<1307> Super Horny Squad Leader
<1307> Super Horny Squad Leader

//<1308> Handsome-chin
<1308> Handsome-chin

//<1309> Homota
<1309> Homota

//<1310> Hina-chin
<1310> Hina-chin

//<1311> Hideki
<1311> Hideki

//<1312> 男子生徒
<1312> 男子生徒

//<1313> ？？
<1313> ？？
{24d9f} 33 // 1313

//<1314> 「えーと、ゴーヤチャンプルー定食ーー!!」
<1314> 「えーと、ゴーヤチャンプルー定食ーー!!」

//<1315> nothing
<1315> nothing

//<1316> nothing
<1316> nothing

//<1317> nothing
<1317> nothing

//<1318> nothing
<1318> nothing

//<1319> nothing
<1319> nothing

//<1320> Otonashi
<1320> Otonashi

//<1321> クソ坊主
<1321> クソ坊主

//<1322> 代理人
<1322> 代理人

//<1323> 微妙すぎるイケメン
<1323> 微妙すぎるイケメン

//<1324> ロリコン
<1324> ロリコン

//<1325> メガネ仲間
<1325> メガネ仲間

//<1326> 暗算日本記録保持者
<1326> 暗算日本記録保持者

//<1327> 通り魔
<1327> 通り魔

//<1328> 記憶ナシ男
<1328> 記憶ナシ男

//<1329> 音速
<1329> 音速

//<1330> 無限
<1330> 無限

//<1331> Horny Samurai
<1331> Horny Samurai

//<1332> Super Horny Squad Member 1
<1332> Super Horny Squad Member 1

//<1333> Horny Boy
<1333> Horny Boy

//<1334> Ugly Yuri
<1334> Ugly Yuri

//<1335> Depussy
<1335> Depussy

//<1336> Perverted American Dog
<1336> Perverted American Dog

//<1337> Zeus
<1337> Zeus

//<1338> Hinata mark II
<1338> Hinata mark II

//<1339> Dung Beetle
<1339> Dung Beetle

//<1340> Mass Produced Hinata
<1340> Mass Produced Hinata

//<1341> ？？
<1341> ？？

//<1342> 「すげーメニューがあるんだな…」
<1342> 「すげーメニューがあるんだな…」

//<1343> nothing
<1343> nothing

//<1344> nothing
<1344> nothing

//<1345> nothing
<1345> nothing

//<1346> nothing
<1346> nothing

//<1347> nothing
<1347> nothing

//<1348> nothing
<1348> nothing

//<1349> カウンターに食券を差し出し、受け渡し口に並ぶ。
<1349> カウンターに食券を差し出し、受け渡し口に並ぶ。

//<1350> 食堂のおばさん
<1350> 食堂のおばさん

//<1351> 「はいよー、ゴーヤチャンプルー定食とおろしチキンカツ定食ー」
<1351> 「はいよー、ゴーヤチャンプルー定食とおろしチキンカツ定食ー」

//<1352> 出てきた盆を持って、テーブルに向かい合って座る。
<1352> 出てきた盆を持って、テーブルに向かい合って座る。

//<1353> nothing
<1353> nothing

//<1354> nothing
<1354> nothing

//<1355> nothing
<1355> nothing

//<1356> nothing
<1356> nothing

//<1357> nothing
<1357> nothing

//<1358> 目の前のおろしチキンカツ定食がすごく美味そうに思える…。
<1358> 目の前のおろしチキンカツ定食がすごく美味そうに思える…。

//<1359> nothing
<1359> nothing

//<1360> nothing
<1360> nothing

//<1361> nothing
<1361> nothing

//<1362> nothing
<1362> nothing

//<1363> nothing
<1363> nothing

//<1364> Hinata
<1364> Hinata

//<1365> 男Ｂ
<1365> 男Ｂ

//<1366> Super Horny Squad Leader
<1366> Super Horny Squad Leader

//<1367> Handsome-chin
<1367> Handsome-chin

//<1368> Homota
<1368> Homota

//<1369> Hina-chin
<1369> Hina-chin

//<1370> Hideki
<1370> Hideki

//<1371> 男子生徒
<1371> 男子生徒

//<1372> ？？
<1372> ？？

//<1373> 「どうした?　ゴーヤが苦手だったり?」
<1373> 「どうした?　ゴーヤが苦手だったり?」

//<1374> Otonashi
<1374> Otonashi

//<1375> クソ坊主
<1375> クソ坊主

//<1376> 代理人
<1376> 代理人

//<1377> 微妙すぎるイケメン
<1377> 微妙すぎるイケメン

//<1378> ロリコン
<1378> ロリコン

//<1379> メガネ仲間
<1379> メガネ仲間

//<1380> 暗算日本記録保持者
<1380> 暗算日本記録保持者

//<1381> 通り魔
<1381> 通り魔

//<1382> 記憶ナシ男
<1382> 記憶ナシ男

//<1383> 音速
<1383> 音速

//<1384> 無限
<1384> 無限

//<1385> Horny Samurai
<1385> Horny Samurai

//<1386> Super Horny Squad Member 1
<1386> Super Horny Squad Member 1

//<1387> Horny Boy
<1387> Horny Boy

//<1388> Ugly Yuri
<1388> Ugly Yuri

//<1389> Depussy
<1389> Depussy

//<1390> Perverted American Dog
<1390> Perverted American Dog

//<1391> Zeus
<1391> Zeus

//<1392> Hinata mark II
<1392> Hinata mark II

//<1393> Dung Beetle
<1393> Dung Beetle

//<1394> Mass Produced Hinata
<1394> Mass Produced Hinata

//<1395> ？？
<1395> ？？

//<1396> 「記憶喪失だし、食べてみないことにはわからない…」
<1396> 「記憶喪失だし、食べてみないことにはわからない…」

//<1397> nothing
<1397> nothing

//<1398> nothing
<1398> nothing

//<1399> nothing
<1399> nothing

//<1400> nothing
<1400> nothing

//<1401> nothing
<1401> nothing

//<1402> Hinata
<1402> Hinata

//<1403> 男Ｂ
<1403> 男Ｂ

//<1404> Super Horny Squad Leader
<1404> Super Horny Squad Leader

//<1405> Handsome-chin
<1405> Handsome-chin

//<1406> Homota
<1406> Homota

//<1407> Hina-chin
<1407> Hina-chin

//<1408> Hideki
<1408> Hideki

//<1409> 男子生徒
<1409> 男子生徒

//<1410> ？？
<1410> ？？

//<1411> 「だろーな。では頂きます」
<1411> 「だろーな。では頂きます」

//<1412> Otonashi
<1412> Otonashi

//<1413> クソ坊主
<1413> クソ坊主

//<1414> 代理人
<1414> 代理人

//<1415> 微妙すぎるイケメン
<1415> 微妙すぎるイケメン

//<1416> ロリコン
<1416> ロリコン

//<1417> メガネ仲間
<1417> メガネ仲間

//<1418> 暗算日本記録保持者
<1418> 暗算日本記録保持者

//<1419> 通り魔
<1419> 通り魔

//<1420> 記憶ナシ男
<1420> 記憶ナシ男

//<1421> 音速
<1421> 音速

//<1422> 無限
<1422> 無限

//<1423> Horny Samurai
<1423> Horny Samurai

//<1424> Super Horny Squad Member 1
<1424> Super Horny Squad Member 1

//<1425> Horny Boy
<1425> Horny Boy

//<1426> Ugly Yuri
<1426> Ugly Yuri

//<1427> Depussy
<1427> Depussy

//<1428> Perverted American Dog
<1428> Perverted American Dog

//<1429> Zeus
<1429> Zeus

//<1430> Hinata mark II
<1430> Hinata mark II

//<1431> Dung Beetle
<1431> Dung Beetle

//<1432> Mass Produced Hinata
<1432> Mass Produced Hinata

//<1433> ？？
<1433> ？？

//<1434> 「頂きます」
<1434> 「頂きます」

//<1435> nothing
<1435> nothing

//<1436> nothing
<1436> nothing

//<1437> nothing
<1437> nothing

//<1438> nothing
<1438> nothing

//<1439> nothing
<1439> nothing

//<1440> nothing
<1440> nothing

//<1441> まずゴーヤだけを食べてみる。
<1441> まずゴーヤだけを食べてみる。

//<1442> この味は…。
<1442> この味は…。

//<1443> Otonashi
<1443> Otonashi

//<1444> クソ坊主
<1444> クソ坊主

//<1445> 代理人
<1445> 代理人

//<1446> 微妙すぎるイケメン
<1446> 微妙すぎるイケメン

//<1447> ロリコン
<1447> ロリコン

//<1448> メガネ仲間
<1448> メガネ仲間

//<1449> 暗算日本記録保持者
<1449> 暗算日本記録保持者

//<1450> 通り魔
<1450> 通り魔

//<1451> 記憶ナシ男
<1451> 記憶ナシ男

//<1452> 音速
<1452> 音速

//<1453> 無限
<1453> 無限

//<1454> Horny Samurai
<1454> Horny Samurai

//<1455> Super Horny Squad Member 1
<1455> Super Horny Squad Member 1

//<1456> Horny Boy
<1456> Horny Boy

//<1457> Ugly Yuri
<1457> Ugly Yuri

//<1458> Depussy
<1458> Depussy

//<1459> Perverted American Dog
<1459> Perverted American Dog

//<1460> Zeus
<1460> Zeus

//<1461> Hinata mark II
<1461> Hinata mark II

//<1462> Dung Beetle
<1462> Dung Beetle

//<1463> Mass Produced Hinata
<1463> Mass Produced Hinata

//<1464> ？？
<1464> ？？

//<1465> 「苦っ!」
<1465> 「苦っ!」

//<1466> nothing
<1466> nothing

//<1467> nothing
<1467> nothing

//<1468> nothing
<1468> nothing

//<1469> nothing
<1469> nothing

//<1470> nothing
<1470> nothing

//<1471> Hinata
<1471> Hinata

//<1472> 男Ｂ
<1472> 男Ｂ

//<1473> Super Horny Squad Leader
<1473> Super Horny Squad Leader

//<1474> Handsome-chin
<1474> Handsome-chin

//<1475> Homota
<1475> Homota

//<1476> Hina-chin
<1476> Hina-chin

//<1477> Hideki
<1477> Hideki

//<1478> 男子生徒
<1478> 男子生徒

//<1479> ？？
<1479> ？？

//<1480> 「え?　苦手か?」
<1480> 「え?　苦手か?」

//<1481> Otonashi
<1481> Otonashi

//<1482> クソ坊主
<1482> クソ坊主

//<1483> 代理人
<1483> 代理人

//<1484> 微妙すぎるイケメン
<1484> 微妙すぎるイケメン

//<1485> ロリコン
<1485> ロリコン

//<1486> メガネ仲間
<1486> メガネ仲間

//<1487> 暗算日本記録保持者
<1487> 暗算日本記録保持者

//<1488> 通り魔
<1488> 通り魔

//<1489> 記憶ナシ男
<1489> 記憶ナシ男

//<1490> 音速
<1490> 音速

//<1491> 無限
<1491> 無限

//<1492> Horny Samurai
<1492> Horny Samurai

//<1493> Super Horny Squad Member 1
<1493> Super Horny Squad Member 1

//<1494> Horny Boy
<1494> Horny Boy

//<1495> Ugly Yuri
<1495> Ugly Yuri

//<1496> Depussy
<1496> Depussy

//<1497> Perverted American Dog
<1497> Perverted American Dog

//<1498> Zeus
<1498> Zeus

//<1499> Hinata mark II
<1499> Hinata mark II

//<1500> Dung Beetle
<1500> Dung Beetle

//<1501> Mass Produced Hinata
<1501> Mass Produced Hinata

//<1502> ？？
<1502> ？？

//<1503> 「いや、これぐらいなら大丈夫だ…」
<1503> 「いや、これぐらいなら大丈夫だ…」

//<1504> nothing
<1504> nothing

//<1505> nothing
<1505> nothing

//<1506> nothing
<1506> nothing

//<1507> nothing
<1507> nothing

//<1508> nothing
<1508> nothing

//<1509> nothing
<1509> nothing

//<1510> 記憶にない味だったが、黙々と食べる。
<1510> 記憶にない味だったが、黙々と食べる。

//<1511> nothing
<1511> nothing

//<1512> nothing
<1512> nothing

//<1513> nothing
<1513> nothing

//<1514> nothing
<1514> nothing

//<1515> nothing
<1515> nothing

//<1516> Hinata
<1516> Hinata

//<1517> 男Ｂ
<1517> 男Ｂ

//<1518> Super Horny Squad Leader
<1518> Super Horny Squad Leader

//<1519> Handsome-chin
<1519> Handsome-chin

//<1520> Homota
<1520> Homota

//<1521> Hina-chin
<1521> Hina-chin

//<1522> Hideki
<1522> Hideki

//<1523> 男子生徒
<1523> 男子生徒

//<1524> ？？
<1524> ？？

//<1525> 「お前、昨日のトルネードで拾った食券、一枚だけだろ」
<1525> 「お前、昨日のトルネードで拾った食券、一枚だけだろ」

//<1526> Otonashi
<1526> Otonashi

//<1527> クソ坊主
<1527> クソ坊主

//<1528> 代理人
<1528> 代理人

//<1529> 微妙すぎるイケメン
<1529> 微妙すぎるイケメン

//<1530> ロリコン
<1530> ロリコン

//<1531> メガネ仲間
<1531> メガネ仲間

//<1532> 暗算日本記録保持者
<1532> 暗算日本記録保持者

//<1533> 通り魔
<1533> 通り魔

//<1534> 記憶ナシ男
<1534> 記憶ナシ男

//<1535> 音速
<1535> 音速

//<1536> 無限
<1536> 無限

//<1537> Horny Samurai
<1537> Horny Samurai

//<1538> Super Horny Squad Member 1
<1538> Super Horny Squad Member 1

//<1539> Horny Boy
<1539> Horny Boy

//<1540> Ugly Yuri
<1540> Ugly Yuri

//<1541> Depussy
<1541> Depussy

//<1542> Perverted American Dog
<1542> Perverted American Dog

//<1543> Zeus
<1543> Zeus

//<1544> Hinata mark II
<1544> Hinata mark II

//<1545> Dung Beetle
<1545> Dung Beetle

//<1546> Mass Produced Hinata
<1546> Mass Produced Hinata

//<1547> ？？
<1547> ？？

//<1548> 「ああ」
<1548> 「ああ」

//<1549> nothing
<1549> nothing

//<1550> nothing
<1550> nothing

//<1551> nothing
<1551> nothing

//<1552> nothing
<1552> nothing

//<1553> nothing
<1553> nothing

//<1554> Hinata
<1554> Hinata

//<1555> 男Ｂ
<1555> 男Ｂ

//<1556> Super Horny Squad Leader
<1556> Super Horny Squad Leader

//<1557> Handsome-chin
<1557> Handsome-chin

//<1558> Homota
<1558> Homota

//<1559> Hina-chin
<1559> Hina-chin

//<1560> Hideki
<1560> Hideki

//<1561> 男子生徒
<1561> 男子生徒

//<1562> ？？
<1562> ？？

//<1563> 「いつでも好きに食えるように、ほら、やるよ」
