// Newline command format: {0000} (newline type)
// 0d = append
// 0e = new page
// anything else is unknown

//<0000> _sys_macro_day
<0000> _sys_macro_day
<4290> Otonashi

//<4291> クソ坊主
<4291> クソ坊主

//<4292> 代理人
<4292> 代理人

//<4293> 微妙すぎるイケメン
<4293> 微妙すぎるイケメン

//<4294> ロリコン
<4294> ロリコン

//<4295> メガネ仲間
<4295> メガネ仲間

//<4296> 暗算日本記録保持者
<4296> 暗算日本記録保持者

//<4297> 通り魔
<4297> 通り魔

//<4298> 記憶ナシ男
<4298> 記憶ナシ男

//<4299> 音速
<4299> 音速

//<4300> 無限
<4300> 無限

//<4301> エロ侍
<4301> エロ侍

//<4302> エロエロ団ナンバー１
<4302> エロエロ団ナンバー１

//<4303> ただのエロ少年
<4303> ただのエロ少年

//<4304> ユリブサイク
<4304> ユリブサイク

//<4305> ドピュッシー
<4305> ドピュッシー

//<4306> アメリカンエロドッグ
<4306> アメリカンエロドッグ

//<4307> ゼウス
<4307> ゼウス

//<4308> HinatamarkⅡ
<4308> HinatamarkⅡ

//<4309> 糞虫
<4309> 糞虫

//<4310> 量産型Hinata
<4310> 量産型Hinata

//<4311> ？？
<4311> ？？

//<4312> 「あいつは連れてかなくていいのか?」
<4312> 「Is she not coming with us?」

//<4313> Hinata
<4313> Hinata

//<4314> 男B
<4314> 男B

//<4315> エロエロ団総帥
<4315> エロエロ団総帥

//<4316> イケチン
<4316> イケチン

//<4317> ホモ太
<4317> ホモ太

//<4318> ひなチン
<4318> ひなチン

//<4319> 秀樹
<4319> 秀樹

//<4320> 男子生徒
<4320> 男子生徒

//<4321> ？？
<4321> ？？

//<4322> 「Yusaは作戦実行班じゃねーから.Yurippeの指示通りに動くだけの通信士さ」
<4322> 「Yusa isn't a part of the execution squad. She's Yurippe's communicator who only listens to her command.」

//<4323> Hinata
<4323> Hinata

//<4324> 男B
<4324> 男B

//<4325> エロエロ団総帥
<4325> エロエロ団総帥

//<4326> イケチン
<4326> イケチン

//<4327> ホモ太
<4327> ホモ太

//<4328> ひなチン
<4328> ひなチン

//<4329> 秀樹
<4329> 秀樹

//<4330> 男子生徒
<4330> 男子生徒

//<4331> ？？
<4331> ？？

//<4332> 「今回はここで見張りを言いつけられてんだろ」
<4332> 「I'm guessing she was ordered to keep watch for us this time.」

//<4333> Otonashi
<4333> Otonashi

//<4334> クソ坊主
<4334> クソ坊主

//<4335> 代理人
<4335> 代理人

//<4336> 微妙すぎるイケメン
<4336> 微妙すぎるイケメン

//<4337> ロリコン
<4337> ロリコン

//<4338> メガネ仲間
<4338> メガネ仲間

//<4339> 暗算日本記録保持者
<4339> 暗算日本記録保持者

//<4340> 通り魔
<4340> 通り魔

//<4341> 記憶ナシ男
<4341> 記憶ナシ男

//<4342> 音速
<4342> 音速

//<4343> 無限
<4343> 無限

//<4344> エロ侍
<4344> エロ侍

//<4345> エロエロ団ナンバー１
<4345> エロエロ団ナンバー１

//<4346> ただのエロ少年
<4346> ただのエロ少年

//<4347> ユリブサイク
<4347> ユリブサイク

//<4348> ドピュッシー
<4348> ドピュッシー

//<4349> アメリカンエロドッグ
<4349> アメリカンエロドッグ

//<4350> ゼウス
<4350> ゼウス

//<4351> HinatamarkⅡ
<4351> HinatamarkⅡ

//<4352> 糞虫
<4352> 糞虫

//<4353> 量産型Hinata
<4353> 量産型Hinata

//<4354> ？？
<4354> ？？

//<4355> 「なるほど…」
<4355> 「I see…」

//<4356> しかし,あまりに無感情ではないか?
<4356> But, does she have no emotion whatsoever?

//<4357> nothing
<4357> nothing

//<4358> nothing
<4358> nothing

//<4359> nothing
<4359> nothing

//<4360> nothing
<4360> nothing

//<4361> nothing
<4361> nothing

//<4362> nothing
<4362> nothing

//<4363> Otonashi
<4363> Otonashi

//<4364> クソ坊主
<4364> クソ坊主

//<4365> 代理人
<4365> 代理人

//<4366> 微妙すぎるイケメン
<4366> 微妙すぎるイケメン

//<4367> ロリコン
<4367> ロリコン

//<4368> メガネ仲間
<4368> メガネ仲間

//<4369> 暗算日本記録保持者
<4369> 暗算日本記録保持者

//<4370> 通り魔
<4370> 通り魔

//<4371> 記憶ナシ男
<4371> 記憶ナシ男

//<4372> 音速
<4372> 音速

//<4373> 無限
<4373> 無限

//<4374> エロ侍
<4374> エロ侍

//<4375> エロエロ団ナンバー１
<4375> エロエロ団ナンバー１

//<4376> ただのエロ少年
<4376> ただのエロ少年

//<4377> ユリブサイク
<4377> ユリブサイク

//<4378> ドピュッシー
<4378> ドピュッシー

//<4379> アメリカンエロドッグ
<4379> アメリカンエロドッグ

//<4380> ゼウス
<4380> ゼウス

//<4381> HinatamarkⅡ
<4381> HinatamarkⅡ

//<4382> 糞虫
<4382> 糞虫

//<4383> 量産型Hinata
<4383> 量産型Hinata

//<4384> ？？
<4384> ？？

//<4385> 「なんだかＮＰCよりもＮＰCらしいな…」
<4385> 「She's more NPC-like than an NPC…」

//<4386> Hinata
<4386> Hinata

//<4387> 男B
<4387> 男B

//<4388> エロエロ団総帥
<4388> エロエロ団総帥

//<4389> イケチン
<4389> イケチン

//<4390> ホモ太
<4390> ホモ太

//<4391> ひなチン
<4391> ひなチン

//<4392> 秀樹
<4392> 秀樹

//<4393> 男子生徒
<4393> 男子生徒

//<4394> ？？
<4394> ？？

//<4395> 「ＮＰCだったら,あんな寡黙じゃねーよ.どんな生前だったかは知らないけど,そういうのも関係しているんだろうな」
<4395> 「If she was an NPC, she wouldn't be this silent. I don't know what kind of life she lived, but there must be a reason for her nature.」

//<4396> 本来の彼女はまったく違う性格だったのだろうか…
<4396> Maybe her original nature wasn't like this…

//<4397> だとしたら,悲しいな,と思った.
<4397> If that's true, then it's unfortunate.

//<4398> Hinata
<4398> Hinata

//<4399> 男B
<4399> 男B

//<4400> エロエロ団総帥
<4400> エロエロ団総帥

//<4401> イケチン
<4401> イケチン

//<4402> ホモ太
<4402> ホモ太

//<4403> ひなチン
<4403> ひなチン

//<4404> 秀樹
<4404> 秀樹

//<4405> 男子生徒
<4405> 男子生徒

//<4406> ？？
<4406> ？？

//<4407> 「また置いてけぼりだ.いくぞっ」
<4407> 「We'll be left behind again. Let's go.」

//<4408> Otonashi
<4408> Otonashi

//<4409> クソ坊主
<4409> クソ坊主

//<4410> 代理人
<4410> 代理人

//<4411> 微妙すぎるイケメン
<4411> 微妙すぎるイケメン

//<4412> ロリコン
<4412> ロリコン

//<4413> メガネ仲間
<4413> メガネ仲間

//<4414> 暗算日本記録保持者
<4414> 暗算日本記録保持者

//<4415> 通り魔
<4415> 通り魔

//<4416> 記憶ナシ男
<4416> 記憶ナシ男

//<4417> 音速
<4417> 音速

//<4418> 無限
<4418> 無限

//<4419> エロ侍
<4419> エロ侍

//<4420> エロエロ団ナンバー１
<4420> エロエロ団ナンバー１

//<4421> ただのエロ少年
<4421> ただのエロ少年

//<4422> ユリブサイク
<4422> ユリブサイク

//<4423> ドピュッシー
<4423> ドピュッシー

//<4424> アメリカンエロドッグ
<4424> アメリカンエロドッグ

//<4425> ゼウス
<4425> ゼウス

//<4426> HinatamarkⅡ
<4426> HinatamarkⅡ

//<4427> 糞虫
<4427> 糞虫

//<4428> 量産型Hinata
<4428> 量産型Hinata

//<4429> ？？
<4429> ？？

//<4430> 「わりぃ」
<4430> 「Sorry.」

//<4431> 演台下の闇の中へと消えていくHinata.
<4431> Hinata disappeared into the darkness under the stage.

//<4432> 遅れないよう,俺もHinataの後に続く.
<4432> I quickly followed Hinata.

//<4433> 奥に地下へ降りる穴が開いていた.
<4433> There was a ladder leading towards the underground.

//<4434> 梯子を伝い,降りていく.
<4434> We took the ladder and went down.

//<4435> Otonashi
<4435> Otonashi

//<4436> クソ坊主
<4436> クソ坊主

//<4437> 代理人
<4437> 代理人

//<4438> 微妙すぎるイケメン
<4438> 微妙すぎるイケメン

//<4439> ロリコン
<4439> ロリコン

//<4440> メガネ仲間
<4440> メガネ仲間

//<4441> 暗算日本記録保持者
<4441> 暗算日本記録保持者

//<4442> 通り魔
<4442> 通り魔

//<4443> 記憶ナシ男
<4443> 記憶ナシ男

//<4444> 音速
<4444> 音速

//<4445> 無限
<4445> 無限

//<4446> エロ侍
<4446> エロ侍

//<4447> エロエロ団ナンバー１
<4447> エロエロ団ナンバー１

//<4448> ただのエロ少年
<4448> ただのエロ少年

//<4449> ユリブサイク
<4449> ユリブサイク

//<4450> ドピュッシー
<4450> ドピュッシー

//<4451> アメリカンエロドッグ
<4451> アメリカンエロドッグ

//<4452> ゼウス
<4452> ゼウス

//<4453> HinatamarkⅡ
<4453> HinatamarkⅡ

//<4454> 糞虫
<4454> 糞虫

//<4455> 量産型Hinata
<4455> 量産型Hinata

//<4456> ？？
<4456> ？？

//<4457> (イテェェェーーー!)
<4457> (OWWWW!!!)

//<4458> 昼間に負った怪我の痛みに耐え,なんとか梯子を下りきる.
<4458> I endured the pain from the wounds during the morning, and managed to reach the end.

//<4459> Ooyama
<4459> Ooyama

//<4460> 「あれ…?　誰か居るよ?」
<4460> 「Huh…? Somebody's here!」

//<4461> ライトに照らし出されたのは…
<4461> What the flashlight exposed was…

//<4462> nothing
<4462> nothing

//<4463> nothing
<4463> nothing

//<4464> nothing
<4464> nothing

//<4465> nothing
<4465> nothing

//<4466> nothing
<4466> nothing

//<4467> se_kyupeen
<4467> se_kyupeen

//<4468> None
<4468> None

//<4469> Noda
<4469> Noda

//<4470> 男Ｆ
<4470> 男Ｆ

//<4471> イケパイ
<4471> イケパイ

//<4472> 男
<4472> 男

//<4473> ？？
<4473> ？？

//<4474> 「ふっ…」
<4474> 「Hmph…」

//<4475> Nodaだった.
<4475> It was Noda.

//<4476> Hinata
<4476> Hinata

//<4477> 男B
<4477> 男B

//<4478> エロエロ団総帥
<4478> エロエロ団総帥

//<4479> イケチン
<4479> イケチン

//<4480> ホモ太
<4480> ホモ太

//<4481> ひなチン
<4481> ひなチン

//<4482> 秀樹
<4482> 秀樹

//<4483> 男子生徒
<4483> 男子生徒

//<4484> ？？
<4484> ？？

//<4485> 「あー,あほが居た」
<4485> 「Ah, it's a moron.」

//<4486> nothing
<4486> nothing

//<4487> nothing
<4487> nothing

//<4488> nothing
<4488> nothing

//<4489> nothing
<4489> nothing

//<4490> nothing
<4490> nothing

//<4491> Noda
<4491> Noda

//<4492> 男Ｆ
<4492> 男Ｆ

//<4493> イケパイ
<4493> イケパイ

//<4494> 男
<4494> 男

//<4495> ？？
<4495> ？？

//<4496> 「Otonashiといったか.俺はお前をまだ認めていない…」
<4496> 「You're Otonashi aren't ya? I still haven't accepted you as one of us…」

//<4497> nothing
<4497> nothing

//<4498> nothing
<4498> nothing

//<4499> nothing
<4499> nothing

//<4500> nothing
<4500> nothing

//<4501> nothing
<4501> nothing

//<4502> Noda
<4502> Noda

//<4503> 男Ｆ
<4503> 男Ｆ

//<4504> イケパイ
<4504> イケパイ

//<4505> 男
<4505> 男

//<4506> ？？
<4506> ？？

//<4507> 「Otonashiよ…よくそんな怪我でのうのうと俺の前に現れたもんだな」
<4507> 「Otonashi… You have done well. You managed to appear in front of me with all those wounds.」

//<4508> Hinata
<4508> Hinata

//<4509> 男B
<4509> 男B

//<4510> エロエロ団総帥
<4510> エロエロ団総帥

//<4511> イケチン
<4511> イケチン

//<4512> ホモ太
<4512> ホモ太

//<4513> ひなチン
<4513> ひなチン

//<4514> 秀樹
<4514> 秀樹

//<4515> 男子生徒
<4515> 男子生徒

//<4516> ？？
<4516> ？？

//<4517> 「わざわざこんなところで待ちかまえている意味がわからないよな…」
<4517> 「I don't understand why he was waiting for us in here…」

//<4518> Ooyama
<4518> Ooyama

//<4519> 「Nodaくんは,シチュエーションを重要視するみたいだよ」
<4519> 「I think Noda-kun is taking the situation seriously.」

//<4520> Yuri
<4520> Yuri

//<4521> 女生徒
<4521> 女生徒

//<4522> ？？
<4522> ？？

//<4523> 「意味不明ね…」
<4523> 「His motive is unclear…」

//<4524> ひそひそと話す外野.
<4524> There were whispers here and there.

//<4525> bs3_
<4525> bs3_

//<4526> nothing
<4526> nothing

//<4527> nothing
<4527> nothing

//<4528> nothing
<4528> nothing

//<4529> nothing
<4529> nothing

//<4530> nothing
<4530> nothing

//<4531> Noda
<4531> Noda

//<4532> 男Ｆ
<4532> 男Ｆ

//<4533> イケパイ
<4533> イケパイ

//<4534> 男
<4534> 男

//<4535> ？？
<4535> ？？

//<4536> 「もう一度,こいつでズタズタにしてやろう…」
<4536> 「I'll make this guy into minced meat once more…」

//<4537> Otonashi
<4537> Otonashi

//<4538> クソ坊主
<4538> クソ坊主

//<4539> 代理人
<4539> 代理人

//<4540> 微妙すぎるイケメン
<4540> 微妙すぎるイケメン

//<4541> ロリコン
<4541> ロリコン

//<4542> メガネ仲間
<4542> メガネ仲間

//<4543> 暗算日本記録保持者
<4543> 暗算日本記録保持者

//<4544> 通り魔
<4544> 通り魔

//<4545> 記憶ナシ男
<4545> 記憶ナシ男

//<4546> 音速
<4546> 音速

//<4547> 無限
<4547> 無限

//<4548> エロ侍
<4548> エロ侍

//<4549> エロエロ団ナンバー１
<4549> エロエロ団ナンバー１

//<4550> ただのエロ少年
<4550> ただのエロ少年

//<4551> ユリブサイク
<4551> ユリブサイク

//<4552> ドピュッシー
<4552> ドピュッシー

//<4553> アメリカンエロドッグ
<4553> アメリカンエロドッグ

//<4554> ゼウス
<4554> ゼウス

//<4555> HinatamarkⅡ
<4555> HinatamarkⅡ

//<4556> 糞虫
<4556> 糞虫

//<4557> 量産型Hinata
<4557> 量産型Hinata

//<4558> ？？
<4558> ？？

//<4559> 「別に認められたくもない」
<4559> 「It's not like I want to be accepted by you.」

//<4560> bs3_
<4560> bs3_

//<4561> nothing
<4561> nothing

//<4562> nothing
<4562> nothing

//<4563> nothing
<4563> nothing

//<4564> nothing
<4564> nothing

//<4565> nothing
<4565> nothing

//<4566> Noda
<4566> Noda

//<4567> 男Ｆ
<4567> 男Ｆ

//<4568> イケパイ
<4568> イケパイ

//<4569> 男
<4569> 男

//<4570> ？？
<4570> ？？

//<4571> 「貴様…今度は千回死なせてやろうか」
<4571> 「You bastard… I'll kill you a thousand times.」

//<4572> Hinata
<4572> Hinata

//<4573> 男B
<4573> 男B

//<4574> エロエロ団総帥
<4574> エロエロ団総帥

//<4575> イケチン
<4575> イケチン

//<4576> ホモ太
<4576> ホモ太

//<4577> ひなチン
<4577> ひなチン

//<4578> 秀樹
<4578> 秀樹

//<4579> 男子生徒
<4579> 男子生徒

//<4580> ？？
<4580> ？？

//<4581> 「待て待て!　なんでこの状況で仲間割れしてんだよ!」
<4581> 「Hold up! Why are we fighting with each other in this situation!?」

//<4582> nothing
<4582> nothing

//<4583> nothing
<4583> nothing

//<4584> nothing
<4584> nothing

//<4585> nothing
<4585> nothing

//<4586> nothing
<4586> nothing

//<4587> se_kazekiri2
<4587> se_kazekiri2

//<4588> ぶぅん!
<4588> Whoosh!

//<4589> 空気を切る音がした.それはNodaの得物ではない.
<4589> A sharp sound cut through the air. But it wasn't from Noda's weapon.

//<4590> se_trapattack
<4590> se_trapattack

//<4591> nothing
<4591> nothing

//<4592> nothing
<4592> nothing

//<4593> nothing
<4593> nothing

//<4594> nothing
<4594> nothing

//<4595> nothing
<4595> nothing

//<4596> nothing
<4596> nothing

//<4597> 
<4597> 

//<4598> 
<4598> 

//<4599> nothing
<4599> nothing

//<4600> Noda
<4600> Noda

//<4601> 男Ｆ
<4601> 男Ｆ

//<4602> イケパイ
<4602> イケパイ

//<4603> 男
<4603> 男

//<4604> ？？
<4604> ？？

//<4605> 「ぶほっ」
<4605> 「Buho!」

//<4606> 降りてきたハンマーがNodaを吹っ飛ばし,容赦なく壁にめり込ませていた.
<4606> A hammer swung down, which mercilessly slammed Noda into the wall.

//<4607> Noda
<4607> Noda

//<4608> 男Ｆ
<4608> 男Ｆ

//<4609> イケパイ
<4609> イケパイ

//<4610> 男
<4610> 男

//<4611> ？？
<4611> ？？

//<4612> 「ぐふっ…」
<4612> 「Guha…」

//<4613> $$ef_trap_rot_eve
<4613> $$ef_trap_rot_eve

//<4614> Everyone
<4614> Everyone

//<4615> 「!?」
<4615> 「!?」

//<4616> Fujimaki
<4616> Fujimaki

//<4617> 「トラップが解除されてねぇ!?」
<4617> 「The traps weren't disabled!?」

//<4618> 一瞬にして緊迫した空気に.
<4618> Instantly, tension flowed through the air.

//<4619> nothing
<4619> nothing

//<4620> nothing
<4620> nothing

//<4621> nothing
<4621> nothing

//<4622> nothing
<4622> nothing

//<4623> nothing
<4623> nothing

//<4624> Yuri
<4624> Yuri

//<4625> 女生徒
<4625> 女生徒

//<4626> ？？
<4626> ？？

//<4627> 「総員,臨戦態勢へ移行!」
<4627> 「Everybody, prepare for battle!」

//<4628> se_handgun_setup
<4628> se_handgun_setup

//<4629> 銃を手に身を寄せ合う.
<4629> I pulled out my gun and stood back-to-back with everybody else.

//<4630> Otonashi
<4630> Otonashi

//<4631> クソ坊主
<4631> クソ坊主

//<4632> 代理人
<4632> 代理人

//<4633> 微妙すぎるイケメン
<4633> 微妙すぎるイケメン

//<4634> ロリコン
<4634> ロリコン

//<4635> メガネ仲間
<4635> メガネ仲間

//<4636> 暗算日本記録保持者
<4636> 暗算日本記録保持者

//<4637> 通り魔
<4637> 通り魔

//<4638> 記憶ナシ男
<4638> 記憶ナシ男

//<4639> 音速
<4639> 音速

//<4640> 無限
<4640> 無限

//<4641> エロ侍
<4641> エロ侍

//<4642> エロエロ団ナンバー１
<4642> エロエロ団ナンバー１

//<4643> ただのエロ少年
<4643> ただのエロ少年

//<4644> ユリブサイク
<4644> ユリブサイク

//<4645> ドピュッシー
<4645> ドピュッシー

//<4646> アメリカンエロドッグ
<4646> アメリカンエロドッグ

//<4647> ゼウス
<4647> ゼウス

//<4648> HinatamarkⅡ
<4648> HinatamarkⅡ

//<4649> 糞虫
<4649> 糞虫

//<4650> 量産型Hinata
<4650> 量産型Hinata

//<4651> ？？
<4651> ？？

//<4652> 「イツツ…何事だ…」
<4652> 「Oww… What happened…?」

//<4653> Otonashi
<4653> Otonashi

//<4654> クソ坊主
<4654> クソ坊主

//<4655> 代理人
<4655> 代理人

//<4656> 微妙すぎるイケメン
<4656> 微妙すぎるイケメン

//<4657> ロリコン
<4657> ロリコン

//<4658> メガネ仲間
<4658> メガネ仲間

//<4659> 暗算日本記録保持者
<4659> 暗算日本記録保持者

//<4660> 通り魔
<4660> 通り魔

//<4661> 記憶ナシ男
<4661> 記憶ナシ男

//<4662> 音速
<4662> 音速

//<4663> 無限
<4663> 無限

//<4664> エロ侍
<4664> エロ侍

//<4665> エロエロ団ナンバー１
<4665> エロエロ団ナンバー１

//<4666> ただのエロ少年
<4666> ただのエロ少年

//<4667> ユリブサイク
<4667> ユリブサイク

//<4668> ドピュッシー
<4668> ドピュッシー

//<4669> アメリカンエロドッグ
<4669> アメリカンエロドッグ

//<4670> ゼウス
<4670> ゼウス

//<4671> HinatamarkⅡ
<4671> HinatamarkⅡ

//<4672> 糞虫
<4672> 糞虫

//<4673> 量産型Hinata
<4673> 量産型Hinata

//<4674> ？？
<4674> ？？

//<4675> 「何事だ…」
<4675> 「What happened…?」

//<4676> Hinata
<4676> Hinata

//<4677> 男B
<4677> 男B

//<4678> エロエロ団総帥
<4678> エロエロ団総帥

//<4679> イケチン
<4679> イケチン

//<4680> ホモ太
<4680> ホモ太

//<4681> ひなチン
<4681> ひなチン

//<4682> 秀樹
<4682> 秀樹

//<4683> 男子生徒
<4683> 男子生徒

//<4684> ？？
<4684> ？？

//<4685> 「見ての通りだ」
<4685> 「It's just like what you see.」

//<4686> Nodaを葬った巨大ハンマーはまだぶらんぶらんと揺れ続けている.
<4686> The gigantic hammer which knocked out Noda was still swinging on the ceiling.

//<4687> Hinata
<4687> Hinata

//<4688> 男B
<4688> 男B

//<4689> エロエロ団総帥
<4689> エロエロ団総帥

//<4690> イケチン
<4690> イケチン

//<4691> ホモ太
<4691> ホモ太

//<4692> ひなチン
<4692> ひなチン

//<4693> 秀樹
<4693> 秀樹

//<4694> 男子生徒
<4694> 男子生徒

//<4695> ？？
<4695> ？？

//<4696> 「言っただろ.ギルドへの道のりには対Tenshi用の即死トラップがいくつも仕掛けてある.そのすべてが今もなお稼働中というわけさ…」
<4696> 「I told you, didn't I? There are a lot of anti-Tenshi traps installed on the way to the Guild. And all those traps are currently active…」

//<4697> Hinata
<4697> Hinata

//<4698> 男B
<4698> 男B

//<4699> エロエロ団総帥
<4699> エロエロ団総帥

//<4700> イケチン
<4700> イケチン

//<4701> ホモ太
<4701> ホモ太

//<4702> ひなチン
<4702> ひなチン

//<4703> 秀樹
<4703> 秀樹

//<4704> 男子生徒
<4704> 男子生徒

//<4705> ？？
<4705> ？？

//<4706> 「あと,パクチー臭い」
<4706> 「Also, you reek of coriander.」

//<4707> Otonashi
<4707> Otonashi

//<4708> クソ坊主
<4708> クソ坊主

//<4709> 代理人
<4709> 代理人

//<4710> 微妙すぎるイケメン
<4710> 微妙すぎるイケメン

//<4711> ロリコン
<4711> ロリコン

//<4712> メガネ仲間
<4712> メガネ仲間

//<4713> 暗算日本記録保持者
<4713> 暗算日本記録保持者

//<4714> 通り魔
<4714> 通り魔

//<4715> 記憶ナシ男
<4715> 記憶ナシ男

//<4716> 音速
<4716> 音速

//<4717> 無限
<4717> 無限

//<4718> エロ侍
<4718> エロ侍

//<4719> エロエロ団ナンバー１
<4719> エロエロ団ナンバー１

//<4720> ただのエロ少年
<4720> ただのエロ少年

//<4721> ユリブサイク
<4721> ユリブサイク

//<4722> ドピュッシー
<4722> ドピュッシー

//<4723> アメリカンエロドッグ
<4723> アメリカンエロドッグ

//<4724> ゼウス
<4724> ゼウス

//<4725> HinatamarkⅡ
<4725> HinatamarkⅡ

//<4726> 糞虫
<4726> 糞虫

//<4727> 量産型Hinata
<4727> 量産型Hinata

//<4728> ？？
<4728> ？？

//<4729> 「ということは…」
<4729> 「Which means…」

//<4730> Ooyama
<4730> Ooyama

//<4731> 「トラップの解除忘れかな?」
<4731> 「Did they forget to disable the traps?」

//<4732> Fujimaki
<4732> Fujimaki

//<4733> 「まさか…俺たちを全滅させる気かよ…」
<4733> 「I don't think so… Are they planning annihilate us…?」

//<4734> nothing
<4734> nothing

//<4735> nothing
<4735> nothing

//<4736> nothing
<4736> nothing

//<4737> nothing
<4737> nothing

//<4738> nothing
<4738> nothing

//<4739> Yuri
<4739> Yuri

//<4740> 女生徒
<4740> 女生徒

//<4741> ？？
<4741> ？？

//<4742> 「いえ」
<4742> 「No.」

//<4743> Yuriが静かに告げる.
<4743> Yuri let out a single word.

//<4744> nothing
<4744> nothing

//<4745> nothing
<4745> nothing

//<4746> nothing
<4746> nothing

//<4747> nothing
<4747> nothing

//<4748> nothing
<4748> nothing

//<4749> Yuri
<4749> Yuri

//<4750> 女生徒
<4750> 女生徒

//<4751> ？？
<4751> ？？

//<4752> 「ギルドの独断でトラップが再起動されたのよ」
<4752> 「The Guild activated the traps on their own accord.」

//<4753> Hinata
<4753> Hinata

//<4754> 男B
<4754> 男B

//<4755> エロエロ団総帥
<4755> エロエロ団総帥

//<4756> イケチン
<4756> イケチン

//<4757> ホモ太
<4757> ホモ太

//<4758> ひなチン
<4758> ひなチン

//<4759> 秀樹
<4759> 秀樹

//<4760> 男子生徒
<4760> 男子生徒

//<4761> ？？
<4761> ？？

//<4762> 「なんで!?　ホワーイ!?」
<4762> 「Why!? WHY!?」

//<4763> nothing
<4763> nothing

//<4764> nothing
<4764> nothing

//<4765> nothing
<4765> nothing

//<4766> nothing
<4766> nothing

//<4767> nothing
<4767> nothing

//<4768> Otonashi
<4768> Otonashi

//<4769> クソ坊主
<4769> クソ坊主

//<4770> 代理人
<4770> 代理人

//<4771> 微妙すぎるイケメン
<4771> 微妙すぎるイケメン

//<4772> ロリコン
<4772> ロリコン

//<4773> メガネ仲間
<4773> メガネ仲間

//<4774> 暗算日本記録保持者
<4774> 暗算日本記録保持者

//<4775> 通り魔
<4775> 通り魔

//<4776> 記憶ナシ男
<4776> 記憶ナシ男

//<4777> 音速
<4777> 音速

//<4778> 無限
<4778> 無限

//<4779> エロ侍
<4779> エロ侍

//<4780> エロエロ団ナンバー１
<4780> エロエロ団ナンバー１

//<4781> ただのエロ少年
<4781> ただのエロ少年

//<4782> ユリブサイク
<4782> ユリブサイク

//<4783> ドピュッシー
<4783> ドピュッシー

//<4784> アメリカンエロドッグ
<4784> アメリカンエロドッグ

//<4785> ゼウス
<4785> ゼウス

//<4786> HinatamarkⅡ
<4786> HinatamarkⅡ

//<4787> 糞虫
<4787> 糞虫

//<4788> 量産型Hinata
<4788> 量産型Hinata

//<4789> ？？
<4789> ？？

//<4790> 「イツツ…頭が痛い…そのホワーイはやめてくれ…」
<4790> 「Oww… My head hurts… Can you please stop with your WHYs…?」

//<4791> nothing
<4791> nothing

//<4792> nothing
<4792> nothing

//<4793> nothing
<4793> nothing

//<4794> nothing
<4794> nothing

//<4795> nothing
<4795> nothing

//<4796> Hinata
<4796> Hinata

//<4797> 男B
<4797> 男B

//<4798> エロエロ団総帥
<4798> エロエロ団総帥

//<4799> イケチン
<4799> イケチン

//<4800> ホモ太
<4800> ホモ太

//<4801> ひなチン
<4801> ひなチン

//<4802> 秀樹
<4802> 秀樹

//<4803> 男子生徒
<4803> 男子生徒

//<4804> ？？
<4804> ？？

//<4805> 「それこそ,ホワーイだぜ!?」
<4805> 「That's also a WHY!?」

//<4806> Otonashi
<4806> Otonashi

//<4807> クソ坊主
<4807> クソ坊主

//<4808> 代理人
<4808> 代理人

//<4809> 微妙すぎるイケメン
<4809> 微妙すぎるイケメン

//<4810> ロリコン
<4810> ロリコン

//<4811> メガネ仲間
<4811> メガネ仲間

//<4812> 暗算日本記録保持者
<4812> 暗算日本記録保持者

//<4813> 通り魔
<4813> 通り魔

//<4814> 記憶ナシ男
<4814> 記憶ナシ男

//<4815> 音速
<4815> 音速

//<4816> 無限
<4816> 無限

//<4817> エロ侍
<4817> エロ侍

//<4818> エロエロ団ナンバー１
<4818> エロエロ団ナンバー１

//<4819> ただのエロ少年
<4819> ただのエロ少年

//<4820> ユリブサイク
<4820> ユリブサイク

//<4821> ドピュッシー
<4821> ドピュッシー

//<4822> アメリカンエロドッグ
<4822> アメリカンエロドッグ

//<4823> ゼウス
<4823> ゼウス

//<4824> HinatamarkⅡ
<4824> HinatamarkⅡ

//<4825> 糞虫
<4825> 糞虫

//<4826> 量産型Hinata
<4826> 量産型Hinata

//<4827> ？？
<4827> ？？

//<4828> 「イツツ…」
<4828> 「Oww…」

//<4829> nothing
<4829> nothing

//<4830> nothing
<4830> nothing

//<4831> nothing
<4831> nothing

//<4832> nothing
<4832> nothing

//<4833> nothing
